,moves,year_id,month,day,hour_id,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,rate_per_hour,per_diff,District
73,MOVES 3,2020,July,Weekday,8,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,0.01838098,,El Paso
74,MOVES 3,2020,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,100,PM10 Total Exh,0.015045008,,El Paso
75,MOVES 3,2020,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,110,PM2.5 Total Exh,0.013841403,,El Paso
76,MOVES 3,2020,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,1.254474,,El Paso
77,MOVES 3,2020,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,1.154113,,El Paso
78,MOVES 3,2030,July,Weekday,8,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,0.016273555,,El Paso
79,MOVES 3,2030,July,Weekday,8,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,0.014395953,,El Paso
80,MOVES 3,2030,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,100,PM10 Total Exh,0.011806961,,El Paso
81,MOVES 3,2030,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,110,PM2.5 Total Exh,0.0108623521,,El Paso
82,MOVES 3,2030,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,0.3202859,,El Paso
83,MOVES 3,2030,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,0.29466190000000003,,El Paso
84,MOVES 3,2040,July,Weekday,8,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,0.014344344,,El Paso
85,MOVES 3,2040,July,Weekday,8,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,0.012689309,,El Paso
86,MOVES 3,2040,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,100,PM10 Total Exh,0.0112121853,,El Paso
87,MOVES 3,2040,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,110,PM2.5 Total Exh,0.010315166200000002,,El Paso
88,MOVES 3,2040,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,0.2144682,,El Paso
89,MOVES 3,2040,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,0.1973109,,El Paso
90,MOVES 3,2050,July,Weekday,8,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,0.01390667,,El Paso
91,MOVES 3,2050,July,Weekday,8,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,0.0123020355,,El Paso
92,MOVES 3,2050,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,100,PM10 Total Exh,0.0122677629,,El Paso
93,MOVES 3,2050,July,Weekday,8,21,Passenger Car,2,Diesel Fuel,110,PM2.5 Total Exh,0.0112862736,,El Paso
94,MOVES 3,2050,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,0.1898708,,El Paso
95,MOVES 3,2050,July,Weekday,8,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,0.17467980000000002,,El Paso
